År,Månad,Företag,M,L,C,KD,S,V,MP,FI,PP,SD,Övriga,Osäkra,Publicerad,Intervjuperiod,Intervjuer
2016,Maj,Sifo,25.7,6.2,6.3,4.0,26.5,7.9,4.1,2.1,,16.1,1.1,,15 maj,2 maj - 12 maj,1937
2016,Maj,Novus,25.7,6.5,6.0,3.3,25.9,7.3,4.5,2.5,,17.7,0.6,6.7,12 maj,18 april - 8 maj,3005
2016,Maj,Aftonbladet,23.9,4.7,7.5,5.0,24.3,9.6,4.4,1.4,,18.8,2.9,8.6,20 maj,,
2016,Maj,Demoskop,25.5,5.6,7.4,3.3,24.9,8.0,5.1,2.3,,16.4,1.5,11.7,9-maj,26 apr - 3 maj,1254
2016,Maj,Sifo,27.4,5.4,5.9,4.3,26.5,8.2,4.3,2.0,,15.3,0.7,,6 maj,25 apr - 3 maj,1900
,,,,,,,,,,,,,,,,,
2016,April,YouGov,23.6,3.6,6.7,2.7,23.5,7.8,5.4,2.1,,23.6,1.0,,28 apr,15 - 19 apr,1515
2016,April,Ipsos,28.1,6.3,6.1,3.3,24.4,7.1,4.8,2.8,,16.6,0.5,16.7,25 apr,14 - 25 apr,1200
2016,April,Aftonbladet,24.2,4.3,7.3,3.9,25.4,8.1,4.6,1.4,,19.7,1.3,8.6,23 apr,7 - 17 apr,2531
2016,April,Novus,24.0,5.8,6.8,3.1,26.0,7.1,5.6,1.9,,18.9,0.8,9.7,22 apr,21 mars - 17 apr,4002
2016,April,Sifo,25.8,5.5,7.3,3.5,26.7,7.2,6.0,1.7,,15.7,0.7,11.5,20 apr,4 apr - 14 apr,1945
2016,April,Sentio,21.1,6.0,5.3,3.0,24.1,8.1,4.6,2.6,1.6,22.3,2.6,,18 apr,6 - 13 apr,1030
2016,April,Demoskop,28.0,5.3,6.3,3.5,25.5,7.7,5.3,2.2,,15.5,0.8,10.8,8-apr,29 mars - 6 arp,1252
,,,,,,,,,,,,,,,,,
2016,Mars,Aftonbladet,23.9,4,6.7,4.2,27.2,7.1,4.8,2.4,,18.9,0.9,,23 mar,15 - 22 mar,2064
2016,Mars,YouGov,24.6,3.7,5.7,3.6,21.9,7.2,5.0,2.2,,24.9,1.1,,16 mar,11 - 14 mar,1517
2016,Mars,Novus,24.2,5.3,6.2,3.4,24.9,7.6,6.2,1.5,,19.9,0.8,7.7,27 mar,22 feb - 20 mar,4002
2016,Mars,Ipsos,25.6,5.4,6.1,3.6,28.9,7.3,5.0,1.9,,14.7,1.3,16.7,26 mar,10 - 20 mar,1200
2016,Mars,Skop,25.1,5.1,5.9,4.5,26.7,7.0,7.0,1.9,,16.3,0.5,11,16 mar,16 feb - 10 mar,1003
2016,Mars,Sentio,22.7,4.2,5.3,3.3,22.1,7.0,6.1,3.3,1.0,24.0,1.1,,11 mar,3 - 9 mar,1029
2016,Mars,Sifo,26.9,5.0,6.1,3.6,26.2,7.4,6.1,1.1,,17.0,0.8,11.9,14-Mar,29 feb - 10 mar,1946
2016,Mars,Demoskop,24.5,6.4,6,3.1,26.3,7.2,5.7,2,,17.7,8.6,,6-Mar,23 feb - 2 mar,1250
,,,,,,,,,,,,,,,,,
