År;Månad;Företag;M;FP;C;KD;S;V;MP;SD;Övriga;M FP C KD (1);S V MP (2);(1) - (2);Osäkra;Publicerad;Intervjperiod;Intervjuer;FI;PP;;
2015;Oktober;Sifo;23,8;5,6;8,0;3,7;24,6;7,3;7,1;17,2;0,5;38,2;41,5;-3,3;12,1;20 okt;5 - 15 okt;1 940;2,2;;;
2015;Oktober;YouGov;21,8;4,5;6,22;2,9;23,2;7,0;4,9;24,8;1,2;36,1;33,3;2,8;;14 okt;10 - 12 okt;1 542;2,5;;;
2015;Oktober;Sentio;20,8;4,6;6,7;1,9;23,1;7,9;5,1;25,0;4,7;33,1;35,7;-2,6;;10 okt;1 - 8 okt;1 043;3,4;0,9;;
2015;Oktober;Demoskop;22,3;4,7;7,6;3,5;25,2;7,0;6,7;19,5;xxxxxxxx;;;;xxxxxx;9 okt;29 sep - 6 okt;1 252;2,3;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;September;Aftonbladet;22;4,1;8,4;3,5;25,6;7;5,2;21,2;3;38;37,8;0,2;;25 sept;16 - 24 sept;2 240;1,9;;;
2015;September;Ipsos;22,5;6,6;7,1;3;27,3;6,6;7,3;16,7;2,8;39,2;41,2;-2;13,9;24 sept;9 - 20 sept;1 201;1,9;;;
2015;September;Sifo;22,8;5;6,7;3,7;27;7,3;7,2;17,7;2,8;38,2;41,5;-3,3;12,1;20 sept;7 - 17 sept;1 916;2,4;;;
2015;September;YouGov;20;3,7;7,5;4,9;21,8;6,5;5;27,3;3,2;36,1;33,3;2,8;;17 sept;10 - 14 sept;1 515;2,5;;;
2015;September;Novus;23,1;4,9;6;3,2;26,5;6,7;5,9;20,8;2,9;37,2;39,1;-1,9;7,8;15 sept;24 aug - 13 sept;3 002;2,1;;;
2015;September;Sentio;19,8;4,1;6,6;2,6;24,1;4,9;6,7;26,5;4,7;33,1;35,7;-2,6;;10 sept;3 - 9 sept;1 013;2,7;1,3;;
2015;September;Aftonbladet;21,1;5,1;9,6;4,2;24,9;6,2;4,8;21,5;2,5;40;35,9;4,1;;10 sept;2 - 9 sept;1 808;;;;
2015;September;Demoskop;23,1;5,3;7,2;3,5;25,2;6,5;6,4;19,5;3,4;39,1;38,1;1;10,3;5 sept;25 aug - 2 sept;1 262;2,3;;;
;;;;;;;;;;;;;;;;;;;;;;
2015;Augusti;Ipsos;23,8;5,4;6,2;3,5;26,8;6,6;6,8;17,8;3,1;38,9;40,2;-1,3;14,6;28 aug;14 - 24 aug;1 201;2;;;
